"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"NYSE Euronext Paris";"EUR";"6.65";"6.65";"6.57";"6.61";"07/09/2012 17:35";"CET";"30212";"199557.45"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Marché Libre Paris";"EUR";"0.67";"0.67";"0.67";"0.67";"06/08/2012 15:00";"CET";"1";"0.67"
"ABENGOA";"ES0105200416";"ABGe";"NYSE Arca Europe";"EUR";"10.44";"10.44";"10.44";"10.44";"30/07/2012 10:36";"CET";"60";"626.40"
"ABERDEEN ASSET MGT";"GB0000031285";"ADNl";"NYSE Arca Europe";"GBP";"277.20";"277.20";"276.80";"276.90";"30/08/2012 17:13";"CET";"2756";"5851128.40"
"ABERFORTH SMLR COS";"GB0000066554";"ASLl";"NYSE Arca Europe";"GBP";"587.00";"589.00";"587.00";"589.00";"18/07/2012 10:15";"CET";"1000";"588400.00"
"ABERTIS INFRAES A";"ES0111845014";"ABEe";"NYSE Arca Europe";"EUR";"11.075";"11.34";"11.075";"11.34";"06/09/2012 17:25";"CET";"1408";"57051.715"
"ABLYNX (D)";"BE0003877942";"ABLX";"NYSE Euronext Brussels";"EUR";"3.01";"3.06";"2.97";"2.99";"07/09/2012 17:35";"CET";"31497";"94629.23"
"ABLYNX STR VVPR(D)";"BE0005620910";"ABLXS";"NYSE Euronext Brussels";"EUR";"0.001";"0.001";"0.001";"0.001";"06/09/2012 15:00";"CET";"910";"0.91"
"ABSOLUTE RETURN TR";"GB00B05PYY10";"ABRl";"NYSE Arca Europe";"GBP";"-";"-";"-";"-";"-";"-";"-";"-"
"ACADOMIA GROUPE";"FR0000075699";"MLACA";"Marché Libre Paris";"EUR";"6.22";"6.22";"6.22";"6.22";"04/09/2012 15:00";"CET";"89";"553.58"
"ACANTHE DEV.";"FR0000064602";"ACAN";"NYSE Euronext Paris";"EUR";"0.41";"0.41";"0.40";"0.41";"07/09/2012 17:10";"CET";"32626";"13351.66"
"ACCELL GROUP";"NL0009767532";"ACCEL";"NYSE Euronext Amsterdam";"EUR";"13.52";"13.56";"13.27";"13.415";"07/09/2012 17:35";"CET";"24845";"334163.455"
"ACCENTIS";"BE0003696102";"ACCB";"NYSE Euronext Brussels";"EUR";"0.01";"0.02";"0.01";"0.02";"07/09/2012 17:21";"CET";"582400";"9024.00"
"ACCENTIS STRIP (D)";"BE0005641155";"ACCBS";"NYSE Euronext Brussels";"EUR";"0.001";"0.001";"0.001";"0.001";"27/08/2012 15:00";"CET";"400000";"400.00"
"ACCENTURE PLC";"IE00B4BNMY34";"ACNn";"NYSE Arca Europe";"USD";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCES INDUSTRIE";"FR0010567032";"ALACI";"NYSE Alternext Paris";"EUR";"2.70";"2.76";"2.70";"2.76";"07/09/2012 17:29";"CET";"434";"1177.80"
"ACCIONA";"ES0125220311";"ANAe";"NYSE Arca Europe";"EUR";"75.30";"75.30";"75.30";"75.30";"18/05/2011 09:05";"CET";"15";"-"
"ACCOR";"FR0000120404";"AC";"NYSE Euronext Paris";"EUR";"26.195";"27.21";"26.14";"27.11";"07/09/2012 17:35";"CET";"1393248";"36606093.215"
"ACCSYS";"GB00B0LMC530";"AXS";"NYSE Euronext Amsterdam";"EUR";"0.13";"0.14";"0.13";"0.14";"07/09/2012 15:00";"CET";"32150";"4399.50"
"ACEA";"IT0001207098";"ACEm";"NYSE Arca Europe";"EUR";"4.77";"4.77";"4.77";"4.77";"30/03/2012 16:19";"CET";"254";"1211.58"
"ACEP FRANCE";"FR0010762740";"MLACP";"Marché Libre Paris";"EUR";"3.25";"3.25";"3.25";"3.25";"02/08/2012 15:00";"CET";"250";"812.50"
"ACERINOX";"ES0132105018";"ACXe";"NYSE Arca Europe";"EUR";"13.20";"13.20";"13.20";"13.20";"18/04/2011 15:03";"CET";"80";"-"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"NYSE Alternext Paris";"EUR";"0.37";"0.38";"0.36";"0.37";"07/09/2012 17:03";"CET";"40379";"14760.23"
"ACKERMANS STRIP";"BE0005562336";"ACKS";"NYSE Euronext Brussels";"EUR";"0.65";"0.65";"0.65";"0.65";"06/09/2012 15:00";"CET";"2500";"1625.00"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"NYSE Euronext Brussels";"EUR";"61.32";"62.69";"61.32";"62.21";"07/09/2012 17:35";"CET";"27623";"1711818.04"
"ACROPOLIS TELECOM";"FR0010678284";"ALACR";"NYSE Alternext Paris";"EUR";"2.95";"2.95";"2.95";"2.95";"30/03/2012 15:30";"CET";"100";"295.00"
"ACS";"ES0167050915";"ACSe";"NYSE Arca Europe";"EUR";"14.21";"14.21";"14.21";"14.21";"27/04/2012 14:29";"CET";"129";"1833.09"
"ACTELION N";"CH0010532478";"ATLNz";"NYSE Arca Europe";"CHF";"46.57";"46.61";"46.57";"46.61";"05/09/2012 13:10";"CET";"90";"11597.41"
